# id|name|username|password|teamId|level|wins|losses|heroIds|equipmentLoadouts
P001|Li Bai|libai|player123|T001|28|32|12|H001;H007;H013|H001:E002,E017;H007:E002,E018;H013:E005,E018
P002|Chen Qian|chenq|player123|T001|24|25|15|H002;H008;H015|H002:E006,E019;H008:E006,E008;H015:E006,E013
P003|Zhao Yun|zhaoy|player123|T001|27|30|18|H003;H009;H013|H003:E005,E017;H009:E005,E010;H013:E005,E018
P004|Lu Ban|luban|player123|T001|22|19|17|H004;H010;H014|H004:E003,E020;H010:E003,E017;H014:E003,E020
P005|Zhang Fei|zhangf|player123|T001|26|29|16|H005;H012;H006|H005:E010,E016;H012:E010,E012;H006:E015,E016
P006|Xiao Qiao|xiaoq|player123|T002|25|28|14|H002;H008;H011|H002:E006,E019;H008:E006,E008;H011:E015,E019
P007|Sun Ce|sunce|player123|T002|23|20|20|H003;H009;H013|H003:E005,E017;H009:E005,E010;H013:E005,E018
P008|Hou Yi|houyi|player123|T002|29|35|13|H010;H004;H014|H010:E003,E017;H004:E003,E020;H014:E003,E020
P009|Cai Wenji|caiw|player123|T002|21|17|19|H011;H006;H005|H011:E015,E019;H006:E015,E016;H005:E010,E016
P010|Lian Po|lianp|player123|T002|24|22|18|H012;H005;H009|H012:E010,E012;H005:E010,E016;H009:E005,E010
P011|Mulan|mulan|player123|T003|30|38|11|H013;H001;H003|H013:E005,E018;H001:E002,E017;H003:E005,E017
P012|Marco Ace|marco|player123|T003|27|31|16|H014;H004;H010|H014:E003,E020;H004:E003,E020;H010:E003,E017
P013|Luna Star|luna|player123|T003|26|27|15|H015;H002;H008|H015:E006,E013;H002:E006,E019;H008:E006,E008
P014|Yao Support|yao|player123|T003|22|21|18|H006;H011;H005|H006:E015,E016;H011:E015,E019;H005:E010,E016
P015|Arthur King|arthur|player123|T003|25|26|17|H009;H003;H012|H009:E005,E010;H003:E005,E017;H012:E010,E012
